
Class                 FriendlyName                                                                   InstanceId        
System                Qualcomm(R) SPMI Bus Device                                                    ACPI\QCOM0C0B\1   
System                Qualcomm(R) System Manager GPIO Device                                         ACPI\QCOM0C0C\0   
USB                   USB Composite Device                                                           USB\VID_1A2C&PI...
System                Qualcomm(R) SPI Bus Device                                                     ACPI\QCOM0C0E\B   
System                Qualcomm(R) IOMMU Device                                                       ACPI\QCOM068F\0   
System                Qualcomm(R) IOMMU Device                                                       ACPI\QCOM068F\1   
System                Microsoft System Management BIOS Driver                                        ROOT\MSSMBIOS\0000
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                Qualcomm(R) FastRPC Device                                                     ACPI\QCOM0C5C\2...
System                Qualcomm System MMU Device                                                     ACPI\VEN_QCOM&D...
System                Qualcomm System MMU Device                                                     ACPI\VEN_QCOM&D...
PrintQueue            Microsoft Print to PDF                                                         SWD\PRINTENUM\{...
System                Qualcomm(R) Bus Device                                                         ACPI\QCOM0C16\16  
System                Plug and Play Software Device Enumerator                                       ROOT\SYSTEM\0000  
System                Universal Device Client Device                                                 ROOT\SYSTEM\0001  
System                Qualcomm ADC Temperature Monitor Device                                        ACPI\QCOM0C60\0   
System                Qualcomm ADC Temperature Monitor Device                                        ACPI\QCOM0C61\0   
System                Qualcomm ADC Temperature Monitor Device                                        ACPI\QCOM0C62\0   
System                Qualcomm ADC Temperature Monitor Device                                        ACPI\QCOM0C63\0   
System                Microsoft Windows Management Interface for ACPI                                ACPI\PNP0C14\ISET 
Monitor               Generic Monitor (LM1710 (VGA))                                                 DISPLAY\ZTY1910...
System                Qualcomm(R) Connection Security Device                                         ACPI\QCOM0CA8\0   
System                Remote Desktop Device Redirector Bus                                           ROOT\RDPBUS\0000  
System                Qualcomm CPU Core parking Policy Device                                        ACPI\VEN_QCOM&D...
System                Qualcomm(R) System Manager Device                                              ACPI\QCOM0C2F\2...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
Net                   WAN Miniport (IPv6)                                                            SWD\MSRRAS\MS_N...
System                Qualcomm Modem BCL Policy Device                                               ACPI\VEN_QCOM&D...
System                Microsoft Windows Trusted Runtime Secure Service                               {4E815EE1-20F8-...
System                Generic Bus                                                                    ACPI\PNP0A05\US...
Mouse                 HID-compliant mouse                                                            HID\VID_17EF&PI...
Net                   WAN Miniport (L2TP)                                                            SWD\MSRRAS\MS_L...
USBDevice             Qualcomm(R) USB3(TM) Device Controller                                         URS\VEN_QCOM&DE...


